Chemical Formula, Original Eg (eV),Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C8H14N2Pb1I4,2.3,2.38,2.37854
C8H16N2Sn1I4,1.8,2.27,2.27682
C8N2Ge1I4,2.11,2.4,2.39559
C8H24N2Pb1Br4,2.92,2.41,2.40986
C9H48N3Pb2I7,1.96,2.355,2.35458
C10H48N4Pb3I10,1.86,2.6,2.60028
C11H72N5Pb4I13,1.96,2.18,2.18106
C11H55N5Pb4I13,1.96,2.33,2.32748
C12H84N6Pb5I16,1.6,2.9,2.89892
C12H48N6Pb5I16,1.6,2.01,2.00857
C10H20N4Pb3Cl10,2.64,2.33,2.32885
C8H32N4Pb3Cl10,2.75,2.2,2.19807
C8H32N4Pb3Cl10,3.45,2.83,2.82951
C8H24N2Pb1I4,2.29,2.79,2.78561
C8H24N2Pb1I4,2.27,1.53,1.53014
C10H28N2Pb1I4,2.37,1.59,1.59403
C10H28N2Pb1I4,2.32,1.57,1.57056
C10H28N2Pb1I4,2.29,2.15,2.15195
C12H32N2Pb1I4,2.28,2.13,2.13018
C12H32N2Pb1I4,2.29,2.12,2.12299
C14H36N2Pb1I4,2.31,2.28,2.27721
C14H36N2Pb1I4,2.26,2.29,2.29756
C14H36N2Pb1I4,2.29,2.01,2.00909
C16H40N2Pb1I4,2.38,2.18,2.18124
C16H40N2Pb1I4,2.28,2.2,2.20056
C32H80N4Pb1I4,2.12,2.14,2.1373
C18H44N2Pb1I4,2.35,3.62,3.61551
C18H44N2Pb1I4,2.27,2.58,2.57994
C20H48N2Pb1I4,2.39,2.65,2.64832
C20H48N2Pb1I4,2.39,2.14,2.14044
C20H48N2Pb1I4,2.39,2.14,2.1388
C20H48N2Pb1I4,2.28,3.44,3.43501
C20H48N2Pb1I4,2.28,2.34,2.33802
C40H96N2Pb1I4,2.16,2.11,2.11051
C6N2Pb1Br4,2.4,2.11,2.11276
C6N2Pb1Br4,2.99,2.03,2.0293
C6H18N2Pb1I4,2.44,1.98,1.98132
C8H22N2Pb1I4,2.55,2.28,2.27311
C12H30N2Pb1I4,2.43,2,2.00359
C4H14N2Pb1Br4,2.76,2.06,2.05714
C6H22N2Pb1I4,2.2,1.98,1.97806
C34H100N8Pb3I14,2.17,1.99,1.99066
C8H22N2Pb1I4,2.37,2.01,2.01517
C10H26N2Pb1Br4,2.84,2.18,2.17942
C12H30N2Pb1I4,2.36,2.01,2.00859
C10H12N2Pb1I4,2.29,2.63,2.63177
C4H20N4Pb1Br6,2.8,2.82,2.81703
C13H16N2Pb2I6,2.23,2.88,2.87808
C9H28N3Pb2I7,2.02,2.77,2.76768
C10H34N4Pb3I10,1.83,2.14,2.13933
C11H40N5Pb4I13,1.7,2.1,2.10073
C9H24N2Pb1I4,2.27,2.09,2.09239
C10H30N3Pb2I7,1.96,2.09,2.08991
C11H36N4Pb3I10,1.81,2.1,2.09945
C8H20N2O4Pb1Br4,3.07,1.96,1.96226
C10N2Sn1I6,1.77,1.96,1.95797
C3H12N2Pb1Br4,3.12,1.85,1.84939
C8H28N4Pb1Br4,2.88,1.85,1.85023
C6H18N2Pb1Br4,2.62,2.09,2.08928
C4H78N6Pb3I10,1.56,2.09,2.08831
C3H54N5Pb2I7,1.79,2.12,2.1165
C2H30N4Pb1I4,2.04,2.12,2.11907
C12H72N31Pb3I12,2.32,2.04,2.04238
C4H14N2S2Pb1Br4,2.16,2.12,2.11936
C6H18N2O2Pb1Cl4,3.34,1.97,1.98518
C6H18N2O2Pb1Br4,3.21,2.12,2.11227
C6H18N2O2Pb1I4,2.48,2.38,2.37437
C3H11N3S1Pb1Br4,3.44,2.39,2.38499
C8H16N2Pb1Br4,2.88,2.51,2.5022
C8H16N2Pb1Br4,2.79,2.4,2.39842
C16H40N4Pb1Br4,2.77,2.35,2.34877
C5H14N2O1Pb1Br3F1,3.27,2.17,2.17174
C14H48N4Pb1Br4,2.83,2.21,2.21
C14H48N4Pb1Br4,2.84,2.27,2.26956
C4H16N2O2Pb1I4,2.16,2.28,2.27616
C6H20N2O2Pb1I4,2.14,2.09,2.08774
C4H14N2Pb1I4,2.37,2.19,2.19128
C6H18N2Pb1I4,2.29,2.5,2.50239
C8H22N2Pb1I4,2.28,1.82,1.8198
C10H26N2Pb1I4,2.22,1.65,1.65759
C12H30N2Pb1I4,2.22,1.66,1.66735
C4H14N2Pb1I4,2.13,1.87,1.87202
C4H14N2S2Pb1I4,2.32,1.92,1.92243
C12H42N6S6Pb1I6,2.17,1.85,1.85201
C6H16N2Pb1I4,2.31,1.77,1.77464
C6H16N2Pb1Br4,2.85,2,2.00178
C8H20N2Pb1Br4,2.87,2.03,2.02845
C12H36N2Pb1Br4,2.78,1.87,1.87201
C12H28N2Pb1Br4,2.91,2.03,2.02951
C21H50N3O1Pb1Br5,2.86,2.09,2.09032
C40H90N5Pb2Br9,2.8,1.89,1.8912
C6H16N2Pb1Cl4,3.37,1.88,1.88258
C8H20N2Pb1Cl4,3.42,1.85,1.84889
C20H48N4Pb1Cl4,3.36,2.11,2.11321
C12H28N2Pb1Cl4,3.41,2.09,2.08755
C119H276N17O2Pb7Cl31,3.37,1.92,1.92234
C144H324N18Pb11Cl40,3.33,1.89,1.89482
C14H32N2Pb1Br4,2.82,2.01,2.00684
C4H8N2Pb1Cl4,2.64,1.97,1.97175
C33H54N6O2Pb2Br10,2.72,1.93,1.92998
C6H16N2Pb1I4,2.23,1.78,1.77965
C7H22N3Pb2I7,2.02,2.03,2.02997
C8H28N4Pb3I10,1.92,2.1,2.10157
C9H34N5Pb4I13,1.87,2.1,2.09516
C6H16N2Pb1I4,2.38,1.65,1.65197
C7H22N3Pb2I7,2.17,2.12,2.12012
C8H28N4Pb3I10,1.99,1.78,1.77885
C9H34N5Pb4I13,1.89,2.07,2.06868
C8H20N2Pb1I4,2.31,2.07,2.06991
C14H20N2Pb1Cl4,3.65,2.1,2.10249
C14H20N2Pb1Cl4,3.52,2.855,2.85672
C14H20N2Pb1Cl4,3.51,2.66,2.65802
C14H20N2Pb1Cl4,3.53,2.16,2.16041
C14H20N2Pb1Cl4,3.48,2.23,2.22998
C26H40N4Pb1Cl4,3.43,1.99,1.98779
C14H20N2Pb1Cl4,3.52,2.62,2.61963
C26H40N4Pb1Br4,2.88,2.81,2.8087
C26H40N4Pb1Br4,2.87,2.37,2.36934
C26H40N4Pb1Br4,2.88,4.13,4.13022
C26H40N4Pb1Br4,2.88,3.24,3.23944
C14H20N2Pb1I4,2.28,1.79,1.78955
C27H42N3Pb2I7,2.31,2.04,2.04384
C30H48N3Pb2I7,2.29,2.22,2.21642
C12H20N2S2Pb1I4,2.26,2.51,2.50992
C5H11N3Pb1I4,2.05,2.5,2.50046
