Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C8H14N2Ge1F4,3.094535,3.328697
C8H14N2Ge1Cl4,3.07196,3.368078
C8H14N2Ge1Br4,2.990435,3.213468
C8H14N2Ge1I4,2.405428,2.639856
C8H14N2Cd1F4,2.651862,2.280749
C8H14N2Cd1Cl4,2.932884,2.903596
C8H14N2Cd1Br4,2.847936,3.002377
C8H14N2Cd1I4,2.633476,3.205192
C8H14N2Sn1F4,2.463944,2.448664
C8H14N2Sn1Cl4,2.829898,3.321307
C8H14N2Sn1Br4,2.653679,3.070091
C8H14N2Sn1I4,2.20435,2.6089
C8H14N2Pb1F4,2.956606,2.562381
C8H14N2Pb1Cl4,3.002146,3.214181
C8H14N2Pb1Br4,2.876332,3.039756
C8H14N2Pb1I4,2.361526,2.69424
C8H14N2Bi1F4,2.813828,2.211398
C8H14N2Bi1Cl4,3.048942,3.099764
C8H14N2Bi1Br4,2.923652,2.67491
C8H14N2Bi1I4,2.293246,2.32703
C8H16N2Ge1F4,3.092508,3.281662
C8H16N2Ge1Cl4,3.07998,3.32967
C8H16N2Ge1Br4,2.995397,3.19553
C8H16N2Ge1I4,2.402828,2.639592
C8H16N2Cd1F4,2.660665,2.295078
C8H16N2Cd1Cl4,2.901063,2.957238
C8H16N2Cd1Br4,2.826536,3.088038
C8H16N2Cd1I4,2.580497,3.151707
C8H16N2Sn1F4,2.454482,2.451228
C8H16N2Sn1Cl4,2.838452,3.29264
C8H16N2Sn1Br4,2.656222,2.991224
C8H16N2Sn1I4,2.198264,2.58071
C8H16N2Pb1F4,2.943006,2.585336
C8H16N2Pb1Cl4,3.013454,3.22267
C8H16N2Pb1Br4,2.879196,2.992497
C8H16N2Pb1I4,2.368668,2.695896
C8H16N2Bi1F4,2.810128,2.209688
C8H16N2Bi1Cl4,3.045152,3.062852
C8H16N2Bi1Br4,2.934526,2.661155
C8H16N2Bi1I4,2.293462,2.390579
C8N2Ge1F4,3.105935,3.226882
C8N2Ge1Cl4,2.970948,3.04792
C8N2Ge1Br4,2.964318,3.312128
C8N2Ge1I4,2.392987,2.849669
C8N2Cd1F4,2.635033,2.286705
C8N2Cd1Cl4,2.876187,2.925009
C8N2Cd1Br4,2.810855,3.021439
C8N2Cd1I4,2.623343,3.295948
C8N2Sn1F4,2.439337,2.396871
C8N2Sn1Cl4,2.772069,2.964074
C8N2Sn1Br4,2.641569,3.093197
C8N2Sn1I4,2.235698,2.875456
C8N2Pb1F4,2.898642,2.546484
C8N2Pb1Cl4,2.934854,2.873189
C8N2Pb1Br4,2.844278,3.019459
C8N2Pb1I4,2.358861,2.851773
C8N2Bi1F4,2.778202,2.21396
C8N2Bi1Cl4,3.040376,3.069836
C8N2Bi1Br4,2.91615,2.713818
C8N2Bi1I4,2.325629,2.33766
C8H24N2Ge1F4,3.082608,3.226622
C8H24N2Ge1Cl4,3.12422,3.330608
C8H24N2Ge1Br4,2.982941,3.168287
C8H24N2Ge1I4,2.355124,2.587531
C8H24N2Cd1F4,2.646572,2.337357
C8H24N2Cd1Cl4,2.980542,3.392151
C8H24N2Cd1Br4,2.839932,3.053422
C8H24N2Cd1I4,2.645417,2.837487
C8H24N2Sn1F4,2.482887,2.347386
C8H24N2Sn1Cl4,2.8702,3.238756
C8H24N2Sn1Br4,2.658732,2.970633
C8H24N2Sn1I4,2.213016,2.632631
C8H24N2Pb1F4,2.914741,2.485402
C8H24N2Pb1Cl4,3.022525,3.128772
C8H24N2Pb1Br4,2.879363,2.875264
C8H24N2Pb1I4,2.343915,2.671594
C8H24N2Bi1F4,2.863314,2.230898
C8H24N2Bi1Cl4,3.054397,3.071667
C8H24N2Bi1Br4,2.943538,2.907555
C8H24N2Bi1I4,2.295176,2.419868
C9H48N3Ge2F7,3.046888,3.345637
C9H48N3Ge2Cl7,3.155368,3.435637
C9H48N3Ge2Br7,3.003912,3.314451
C9H48N3Ge2I7,2.347743,2.633271
