Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C2H8N1Ge1F3,3.152393,4.038214
C2H8N1Ge1Cl3,3.078369,3.282978
C2H8N1Ge1Br3,2.987957,3.278842
C2H8N1Ge1I3,2.375148,2.661112
C2H8N1Cd1F3,2.673192,2.39537
C2H8N1Cd1Cl3,2.992338,3.054661
C2H8N1Cd1Br3,2.870378,3.074519
C2H8N1Cd1I3,2.606871,3.161762
C2H8N1Sn1F3,2.542309,2.378459
C2H8N1Sn1Cl3,2.848239,3.113138
C2H8N1Sn1Br3,2.649496,2.991531
C2H8N1Sn1I3,2.197725,2.633817
C2H8N1Pb1F3,2.988757,2.585629
C2H8N1Pb1Cl3,2.989127,3.158487
C2H8N1Pb1Br3,2.859192,2.931114
C2H8N1Pb1I3,2.362338,2.645105
C2H8N1Bi1F3,2.862347,2.355577
C2H8N1Bi1Cl3,3.070317,3.060372
C2H8N1Bi1Br3,2.947286,2.877821
C2H8N1Bi1I3,2.295376,2.386061
C2H8N1Ge1F3,3.152393,4.038214
C2H8N1Ge1Cl3,3.078369,3.282978
C2H8N1Ge1Br3,2.987957,3.278842
C2H8N1Ge1I3,2.375148,2.661112
C2H8N1Cd1F3,2.673192,2.39537
C2H8N1Cd1Cl3,2.992338,3.054661
C2H8N1Cd1Br3,2.870378,3.074519
C2H8N1Cd1I3,2.606871,3.161762
C2H8N1Sn1F3,2.542309,2.378459
C2H8N1Sn1Cl3,2.848239,3.113138
C2H8N1Sn1Br3,2.649496,2.991531
C2H8N1Sn1I3,2.197725,2.633817
C2H8N1Pb1F3,2.988757,2.585629
C2H8N1Pb1Cl3,2.989127,3.158487
C2H8N1Pb1Br3,2.859192,2.931114
C2H8N1Pb1I3,2.362338,2.645105
C2H8N1Bi1F3,2.862347,2.355577
C2H8N1Bi1Cl3,3.070317,3.060372
C2H8N1Bi1Br3,2.947286,2.877821
C2H8N1Bi1I3,2.295376,2.386061
C2H8N1Ge1F3,3.152393,4.038214
C2H8N1Ge1Cl3,3.078369,3.282978
C2H8N1Ge1Br3,2.987957,3.278842
C2H8N1Ge1I3,2.375148,2.661112
C2H8N1Cd1F3,2.673192,2.39537
C2H8N1Cd1Cl3,2.992338,3.054661
C2H8N1Cd1Br3,2.870378,3.074519
C2H8N1Cd1I3,2.606871,3.161762
C2H8N1Sn1F3,2.542309,2.378459
C2H8N1Sn1Cl3,2.848239,3.113138
C2H8N1Sn1Br3,2.649496,2.991531
C2H8N1Sn1I3,2.197725,2.633817
C2H8N1Pb1F3,2.988757,2.585629
C2H8N1Pb1Cl3,2.989127,3.158487
C2H8N1Pb1Br3,2.859192,2.931114
C2H8N1Pb1I3,2.362338,2.645105
C2H8N1Bi1F3,2.862347,2.355577
C2H8N1Bi1Cl3,3.070317,3.060372
C2H8N1Bi1Br3,2.947286,2.877821
C2H8N1Bi1I3,2.295376,2.386061
C2H8N1Ge1F3,3.152393,4.038214
C2H8N1Ge1Cl3,3.078369,3.282978
C2H8N1Ge1Br3,2.987957,3.278842
C2H8N1Ge1I3,2.375148,2.661112
C2H8N1Cd1F3,2.673192,2.39537
C2H8N1Cd1Cl3,2.992338,3.054661
C2H8N1Cd1Br3,2.870378,3.074519
C2H8N1Cd1I3,2.606871,3.161762
C2H8N1Sn1F3,2.542309,2.378459
C2H8N1Sn1Cl3,2.848239,3.113138
C2H8N1Sn1Br3,2.649496,2.991531
C2H8N1Sn1I3,2.197725,2.633817
